iter	Logloss
0	0.6843220398
1	0.6727189053
2	0.6608175665
3	0.6489106635
4	0.6410875886
5	0.636564101
6	0.6258044258
7	0.6201278909
8	0.6152239246
9	0.6084807913
10	0.6021777624
11	0.5942199922
12	0.5873917657
13	0.5815211183
14	0.5742083468
15	0.5664417276
16	0.5629780504
17	0.5557383557
18	0.5523056299
19	0.5472200791
20	0.5413805553
21	0.5367952787
22	0.5323093804
23	0.5280144846
24	0.5234338468
25	0.5188349145
26	0.5152661577
27	0.5109052452
28	0.5056876263
29	0.502496275
30	0.500196936
31	0.4958512147
32	0.4896885322
33	0.4878539379
34	0.4852879092
35	0.476679337
36	0.4741223094
37	0.4719958533
38	0.469082547
39	0.4659589203
40	0.4630682357
41	0.4578322475
42	0.4563444773
43	0.4550447767
44	0.4530759866
45	0.4494516817
46	0.4469366751
47	0.4450656456
48	0.443438154
49	0.440801883
50	0.4389315279
51	0.4372364113
52	0.4355495756
53	0.433978443
54	0.4324678165
55	0.4304774296
56	0.4286235159
57	0.425625824
58	0.4238942552
59	0.4217797934
60	0.4163271627
61	0.4143788053
62	0.4126933133
63	0.4085788201
64	0.4070848243
65	0.4011444568
66	0.3970032026
67	0.3947646876
68	0.3928122436
69	0.3911188009
70	0.3890689196
71	0.3876468427
72	0.3815316003
73	0.3803549974
74	0.3760453829
75	0.3731952851
76	0.3699372635
77	0.3680082424
78	0.3668214954
79	0.3630414706
80	0.3613421173
81	0.3593840829
82	0.3557393065
83	0.353460587
84	0.3516067274
85	0.3485718044
86	0.3461062142
87	0.3444822631
88	0.3429556298
89	0.3402343376
90	0.3386454676
91	0.3370636231
92	0.3342808192
93	0.3327746655
94	0.3301918687
95	0.3270431504
96	0.3256618772
97	0.3235988233
98	0.3220493564
99	0.3198204385
100	0.3187390826
101	0.3163593067
102	0.3149602048
103	0.3137990622
104	0.3127454269
105	0.311864538
106	0.3096059679
107	0.3085213083
108	0.3071269075
109	0.3053625101
110	0.304148985
111	0.3031630203
112	0.3018694388
113	0.300813802
114	0.2999140288
115	0.2989867864
116	0.2977695766
117	0.2966166215
118	0.2950386061
119	0.2941205092
120	0.2934465686
121	0.2925072686
122	0.291041074
123	0.2900394407
124	0.2889432351
125	0.2878976571
126	0.2869064758
127	0.286113983
128	0.2847020601
129	0.2845517786
130	0.2828483274
131	0.2815581855
132	0.2808058783
133	0.2799033827
134	0.2784583257
135	0.2777593996
136	0.2763706225
137	0.2756845155
138	0.2750288501
139	0.2741591113
140	0.2732484019
141	0.272405498
142	0.2716948973
143	0.2709657208
144	0.2699440358
145	0.2688777101
146	0.268185858
147	0.2675047834
148	0.2669932244
149	0.2663797622
